Parent	Child	relationType	edgeScore	Freq
MICB	FAM26F	Type 0	0.212177	0.212177
TMEM16A	TNK2	Type 0	0.302693	0.302693
Gcom1	TNK2	Type 0	0.997534	0.997534
GJB4	TNK2	Type 0	0.280849	0.280849
TMEM44	TNK2	Type 0	0.288349	0.288349
TNK2	ABHD12B	Type 0	0.273143	0.273143
FGF19	NPY5R	Type 0	0.523700	0.523700
SCGB2A1	NPY5R	Type 0	0.933417	0.933417
WDFY2	NPY5R	Type 0	0.298947	0.298947
KRT40	NPY5R	Type 0	0.222676	0.222676
IGFBP1	NPY5R	Type 0	0.271414	0.271414
IKZF1	PPAP2C	Type 0	0.991576	0.991576
IKZF1	FLI1	Type 0	0.987835	0.987835
SGMS2	TSPAN5	Type 0	0.294747	0.294747
RNF138	KIAA1430	Type 0	0.463295	0.463295
STMN1	C15orf21	Type 0	0.325331	0.325331
DCP2	C15orf21	Type 0	0.309993	0.309993
HMGB1	C15orf21	Type 0	0.200214	0.200214
FBXO5	C15orf21	Type 0	0.349836	0.349836
NUSAP1	C15orf21	Type 0	0.411044	0.411044
C15orf21	SEC14L4	Type 0	0.280106	0.280106
C15orf21	HORMAD1	Type 0	0.560311	0.560311
C15orf21	DENND1A	Type 0	0.317442	0.317442
C15orf21	CCNE2	Type 0	0.490291	0.490291
C15orf21	STMN1	Type 0	0.584180	0.584180
C15orf21	H2AFV	Type 0	0.285228	0.285228
TACSTD1	ZEB2	Type 0	0.429140	0.429140
NAP1L2	NAP1L3	Type 0	0.906631	0.906631
ATRNL1	NAP1L3	Type 0	0.274070	0.274070
HES1	NAP1L3	Type 0	0.308333	0.308333
PBK	DYRK4	Type 0	0.281845	0.281845
TNFRSF17	ZFAT1	Type 0	0.274911	0.274911
CD80	ZFAT1	Type 0	0.257618	0.257618
HEBP1	ZFAT1	Type 0	0.994708	0.994708
TNFRSF13B	ZFAT1	Type 0	0.296636	0.296636
PKHD1L1	ZFAT1	Type 0	0.299641	0.299641
SLAMF1	ZFAT1	Type 0	0.449214	0.449214
ZFAT1	FAM125B	Type 0	0.295189	0.295189
UACA	P4HA2	Type 0	0.244480	0.244480
KDELR3	P4HA2	Type 0	0.888649	0.888649
STEAP4	PLGLB2	Type 0	0.265184	0.265184
C22orf16	PLGLB2	Type 0	0.298160	0.298160
ZFP42	PLGLB2	Type 0	0.270049	0.270049
WASF1	PLGLB2	Type 0	0.279731	0.279731
TDRD12	PLGLB2	Type 0	0.300122	0.300122
BICD1	PLGLB2	Type 0	0.998196	0.998196
PLGLB2	ZFP42	Type 0	0.300600	0.300600
TNRC8	LAS1L	Type 0	0.380784	0.380784
ADSL	LAS1L	Type 0	0.669254	0.669254
PDCD11	LAS1L	Type 0	0.300846	0.300846
LAS1L	FAM13A1	Type 0	0.992349	0.992349
LAS1L	L3MBTL	Type 0	0.298409	0.298409
LAS1L	CXorf26	Type 0	0.294574	0.294574
LAS1L	MSL3L1	Type 0	0.298258	0.298258
WAS	KBTBD8	Type 0	0.962434	0.962434
KBTBD8	CAV2	Type 0	0.360704	0.360704
KBTBD8	CELSR1	Type 0	0.429903	0.429903
KBTBD8	NQO1	Type 0	0.346114	0.346114
KBTBD8	MLF1	Type 0	0.231666	0.231666
KBTBD8	ANXA2	Type 0	0.800728	0.800728
KBTBD8	NLRP11	Type 0	1.000000	1.000000
KIAA1522	IDH1	Type 0	0.280155	0.280155
FZD5	IDH1	Type 0	0.961754	0.961754
TSKU	IDH1	Type 0	0.540015	0.540015
IDH1	CYP39A1	Type 0	0.302210	0.302210
IDH1	MOCOS	Type 0	0.275466	0.275466
IDH1	TRIB3	Type 0	0.552853	0.552853
COX6B2	RBBP9	Type 0	0.396770	0.396770
LCN2	RBBP9	Type 0	0.220010	0.220010
KRT80	RBBP9	Type 0	0.576498	0.576498
CCDC5	RBBP9	Type 0	0.327406	0.327406
DTD1	RBBP9	Type 0	0.501576	0.501576
RBBP9	ICK	Type 0	0.383553	0.383553
RBBP9	BDH2	Type 0	0.537462	0.537462
RBBP9	RPS6KA3	Type 0	0.303252	0.303252
RBBP9	MKKS	Type 0	0.295309	0.295309
RBBP9	DTD1	Type 0	0.498424	0.498424
CD48	RNF130	Type 0	0.458080	0.458080
GRB10	RNF130	Type 0	0.983890	0.983890
RNF130	B4GALNT4	Type 0	0.298546	0.298546
FAM40B	L3MBTL	Type 0	0.271014	0.271014
RBM38	L3MBTL	Type 0	0.238059	0.238059
RELL1	L3MBTL	Type 0	0.215370	0.215370
ICK	L3MBTL	Type 0	0.297183	0.297183
RAE1	L3MBTL	Type 0	0.277118	0.277118
LOC91893	NEURL	Type 0	0.218204	0.218204
SPNS3	NEURL	Type 0	0.718222	0.718222
ABI3	NEURL	Type 0	0.335327	0.335327
RPL17	NEURL	Type 0	0.239683	0.239683
RPL14	NEURL	Type 0	0.269950	0.269950
C12orf11	NEURL	Type 0	0.296228	0.296228
NEURL	ZNF532	Type 0	0.225166	0.225166
AREG	SLCO1B3	Type 0	0.207320	0.207320
FRMD6	NOTCH2	Type 0	0.825815	0.825815
IL6ST	NOTCH2	Type 0	0.269108	0.269108
NOTCH2NL	NOTCH2	Type 0	0.497357	0.497357
NOTCH2	RUNX2	Type 0	0.999762	0.999762
NOTCH2	NOTCH2NL	Type 0	0.502643	0.502643
NOTCH2	LACTB	Type 0	0.946165	0.946165
NOTCH2	PQLC3	Type 0	0.464261	0.464261
7A5	RHBDL3	Type 0	0.301016	0.301016
GALNT3	RHBDL3	Type 0	0.299277	0.299277
TMSL8	RHBDL3	Type 0	0.202002	0.202002
TUB	RHBDL3	Type 0	1.000000	1.000000
MYO1D	RHBDL3	Type 0	0.216012	0.216012
ELF1	RHBDL3	Type 0	0.409259	0.409259
RHBDL3	ROR2	Type 0	0.299687	0.299687
SFN	PPAPDC3	Type 0	0.235511	0.235511
TUBA4A	PPAPDC3	Type 0	0.699147	0.699147
OCIAD2	PPAPDC3	Type 0	0.456695	0.456695
EPS8L2	PPAPDC3	Type 0	0.213350	0.213350
DIRAS1	PPAPDC3	Type 0	0.311840	0.311840
PPAPDC3	OCIAD2	Type 0	0.543305	0.543305
LOC493869	NFIC	Type 0	0.280605	0.280605
FAM20C	NFIC	Type 0	0.205056	0.205056
NLGN2	NFIC	Type 0	0.481474	0.481474
TCEAL3	NFIC	Type 0	0.206467	0.206467
TCEAL5	NFIC	Type 0	0.568452	0.568452
NFIC	FAM20C	Type 0	0.525929	0.525929
NFIC	CYBRD1	Type 0	0.398810	0.398810
NFIC	NR2F1	Type 0	0.271887	0.271887
NFIC	NUPR1	Type 0	0.789979	0.789979
NFIC	GLI2	Type 0	0.959175	0.959175
NFIC	NLGN2	Type 0	0.518526	0.518526
NFIC	TCEAL3	Type 0	0.217146	0.217146
NFIC	TCEAL5	Type 0	0.236091	0.236091
NFIC	CDON	Type 0	0.302607	0.302607
OSTM1	C6orf120	Type 0	0.300376	0.300376
PDCD2	C6orf120	Type 0	0.287202	0.287202
POLI	C6orf120	Type 0	0.213100	0.213100
REV3L	C6orf120	Type 0	0.286880	0.286880
LOC729436	C6orf120	Type 0	0.906977	0.906977
C6orf120	MINPP1	Type 0	0.300940	0.300940
DKK3	PTN	Type 0	0.360047	0.360047
EYA1	DAZL	Type 0	0.220250	0.220250
DAZ4	DAZL	Type 0	0.473603	0.473603
ASZ1	DAZL	Type 0	0.299648	0.299648
DAZL	DAZ4	Type 0	0.526397	0.526397
DAZL	CPT1A	Type 0	0.285255	0.285255
DAZL	ASZ1	Type 0	0.684638	0.684638
C1orf172	C2orf15	Type 0	0.978355	0.978355
C2orf15	TMEM45B	Type 0	0.310553	0.310553
C2orf15	ICA1	Type 0	0.206349	0.206349
C2orf15	GNB4	Type 0	0.217848	0.217848
C2orf15	NLRP1	Type 0	0.273101	0.273101
C2orf15	GPC6	Type 0	0.250536	0.250536
C2orf15	ZSCAN16	Type 0	0.318199	0.318199
C2orf15	GLS2	Type 0	0.239195	0.239195
C2orf15	RNF208	Type 0	0.984923	0.984923
MALL	C1orf19	Type 0	0.375499	0.375499
RAB39B	C1orf19	Type 0	0.298574	0.298574
LIPG	C1orf19	Type 0	0.249808	0.249808
GSN	C1orf19	Type 0	0.207493	0.207493
CNOT6L	C1orf19	Type 0	0.295741	0.295741
UCHL5	C1orf19	Type 0	0.260846	0.260846
GPATCH4	C1orf19	Type 0	0.994054	0.994054
C1orf19	PI3	Type 0	0.230960	0.230960
C1orf19	VAV2	Type 0	0.295352	0.295352
GULP1	DKFZp761B107	Type 0	0.326999	0.326999
DKFZp761B107	KCNS3	Type 0	0.292096	0.292096
DKFZp761B107	SOD3	Type 0	0.312709	0.312709
METTL7B	MAPKAPK3	Type 0	0.998684	0.998684
MAPKAPK3	PLEKHG4	Type 0	0.958399	0.958399
MAPKAPK3	NOPE	Type 0	0.295151	0.295151
HMOX1	FAM50A	Type 0	0.294879	0.294879
ZHX2	FAM50A	Type 0	0.306625	0.306625
FLNA	FAM50A	Type 0	0.996512	0.996512
RG9MTD2	FAM50A	Type 0	0.501228	0.501228
SLC39A13	FAM50A	Type 0	0.281202	0.281202
FAM50A	VAV3	Type 0	0.249576	0.249576
FAM50A	IDS	Type 0	0.358944	0.358944
FAM50A	LAGE3	Type 0	0.263589	0.263589
ITGA6	TMEM133	Type 0	0.261883	0.261883
EPS8	TMEM133	Type 0	0.526850	0.526850
TNFRSF21	TMEM133	Type 0	1.000000	1.000000
TMEM133	COL23A1	Type 0	0.509909	0.509909
RAMP2	CRYBA1	Type 0	0.276933	0.276933
GBP7	CRYBA1	Type 0	0.474242	0.474242
NXPH1	CRYBA1	Type 0	0.230093	0.230093
CRYBA1	RAMP2	Type 0	0.646067	0.646067
CRYBA1	NY-REN-7	Type 0	0.211087	0.211087
CRYBA1	GBP7	Type 0	0.525758	0.525758
CRYBA1	NXPH1	Type 0	0.677497	0.677497
CRYBA1	KRTAP10-11	Type 0	0.447406	0.447406
CRYBA1	TYROBP	Type 0	0.209548	0.209548
DCK	DR1	Type 0	0.314170	0.314170
SRRM1	DR1	Type 0	0.692413	0.692413
MTF2	DR1	Type 0	0.278205	0.278205
DR1	FAM102B	Type 0	0.302778	0.302778
DR1	TLCD1	Type 0	0.206659	0.206659
DR1	ZNF780A	Type 0	0.464764	0.464764
DR1	GCAT	Type 0	0.292893	0.292893
DR1	MGC16385	Type 0	0.999210	0.999210
DR1	CHIC2	Type 0	0.295282	0.295282
CXCL1	CXCL2	Type 0	0.337611	0.337611
CXCL2	CXCL1	Type 0	0.590082	0.590082
LAMB4	RAMP2	Type 0	0.210386	0.210386
RAMP2	LAMB4	Type 0	0.471372	0.471372
ART5	CDH15	Type 0	0.435768	0.435768
SLC45A1	CDH15	Type 0	0.306771	0.306771
APOE	CDH15	Type 0	0.223464	0.223464
SELM	CDH15	Type 0	0.296651	0.296651
ABCB9	CDH15	Type 0	0.877456	0.877456
SHC1	CDH15	Type 0	0.205549	0.205549
SEPT5	CDH15	Type 0	0.664706	0.664706
CDH15	TRIM14	Type 0	0.956246	0.956246
DDR1	GYG1	Type 0	0.234422	0.234422
RAB27A	GYG1	Type 0	0.273651	0.273651
SELPLG	GYG1	Type 0	0.995705	0.995705
NOTCH2NL	GYG1	Type 0	0.297091	0.297091
COMMD3	GYG1	Type 0	0.297533	0.297533
STK3	GYG1	Type 0	0.278438	0.278438
TMEM132D	GYG1	Type 0	0.298876	0.298876
GYG1	MLH3	Type 0	0.291626	0.291626
GPRC5A	SLC16A5	Type 0	0.281422	0.281422
KIAA1274	TMEM140	Type 0	0.309443	0.309443
GPNMB	TMEM140	Type 0	0.978097	0.978097
TMEM140	LOC283174	Type 0	0.233623	0.233623
PCDHB5	PCDHB4	Type 0	0.394171	0.394171
PCDHB17	PCDHB4	Type 0	0.229572	0.229572
PCDHB3	PCDHB4	Type 0	0.482709	0.482709
RNF150	PCDHB4	Type 0	0.319532	0.319532
PCDHAC2	PCDHB4	Type 0	0.216255	0.216255
PCDHB4	PCDHB5	Type 0	0.325319	0.325319
PCDHB4	PCDHB3	Type 0	0.517291	0.517291
E2F2	MCM3	Type 0	0.423216	0.423216
ORC1L	MCM3	Type 0	0.698790	0.698790
MCM6	MCM3	Type 0	0.286143	0.286143
MCM3	NASP	Type 0	0.251537	0.251537
MCM3	ORC1L	Type 0	0.275169	0.275169
MCM3	CCND3	Type 0	0.300940	0.300940
MCM3	UNG	Type 0	0.291701	0.291701
OVOL1	DOCK11	Type 0	0.303734	0.303734
DDR1	DOCK11	Type 0	0.286578	0.286578
EPN3	DOCK11	Type 0	0.229983	0.229983
TMC4	DOCK11	Type 0	0.974106	0.974106
C1orf172	SPINT1	Type 0	0.697636	0.697636
SPINT1	CDH3	Type 0	0.994028	0.994028
SPINT1	EHF	Type 0	0.214469	0.214469
SPINT1	MPZL2	Type 0	0.245261	0.245261
SPINT1	C1orf116	Type 0	0.206047	0.206047
SPINT1	PAK6	Type 0	0.219863	0.219863
SPINT1	NUDT11	Type 0	0.296161	0.296161
SPINT1	HS3ST1	Type 0	0.313684	0.313684
SPINT1	ESAM	Type 0	0.268209	0.268209
SPINT1	PRSS22	Type 0	0.512090	0.512090
SPINT1	NAPRT1	Type 0	0.300000	0.300000
SPINT1	ZEB1	Type 0	0.987705	0.987705
SPINT1	FUT1	Type 0	0.983104	0.983104
SPINT1	F11R	Type 0	0.294110	0.294110
SPINT1	PDCL2	Type 0	0.428000	0.428000
SPINT1	GLDN	Type 0	0.291534	0.291534
SPINT1	MGC3207	Type 0	0.205557	0.205557
SPINT1	GRAMD1A	Type 0	0.272311	0.272311
C20orf42	ANKS6	Type 0	0.610643	0.610643
HSD11B2	ANKS6	Type 0	0.401514	0.401514
EFNB1	ANKS6	Type 0	0.251315	0.251315
GALNT12	ANKS6	Type 0	0.988604	0.988604
ANKS6	CAMKK1	Type 0	0.325975	0.325975
ANKS6	ANKRD37	Type 0	0.286853	0.286853
ANKS6	ARMCX4	Type 0	0.219328	0.219328
ANKS6	LRP5L	Type 0	0.344449	0.344449
ANKS6	POMZP3	Type 0	0.296243	0.296243
AXIN2	ABCB1	Type 0	0.265941	0.265941
AXIN2	BASP1	Type 0	0.251522	0.251522
AXIN2	CFHR1	Type 0	0.329263	0.329263
CLDN3	C6orf204	Type 0	0.991756	0.991756
ATAD4	C6orf204	Type 0	0.421443	0.421443
LLGL2	C6orf204	Type 0	0.207166	0.207166
C6orf204	MYO5A	Type 0	0.307505	0.307505
CASP1	TAOK3	Type 0	0.211570	0.211570
LPXN	TAOK3	Type 0	0.298826	0.298826
RASL10B	TAOK3	Type 0	0.926357	0.926357
KIAA1949	TAOK3	Type 0	0.603941	0.603941
TRIM38	TAOK3	Type 0	0.245213	0.245213
TAOK3	LRRC4C	Type 0	0.261811	0.261811
TAOK3	LRRN1	Type 0	0.295994	0.295994
TAOK3	FGL2	Type 0	0.302001	0.302001
TAOK3	CCDC3	Type 0	0.200675	0.200675
ITGB5	FAM18B2	Type 0	0.451862	0.451862
SERPINH1	FAM18B2	Type 0	0.231108	0.231108
CDRT4	FAM18B2	Type 0	0.490833	0.490833
ZCCHC7	FAM18B2	Type 0	0.280911	0.280911
KCTD11	FAM18B2	Type 0	0.293019	0.293019
PCYOX1	FAM18B2	Type 0	0.774380	0.774380
FAM18B2	CDRT4	Type 0	0.509167	0.509167
FAM18B2	CYB5D2	Type 0	0.301171	0.301171
DDR2	RGS5	Type 0	0.395124	0.395124
RGS4	RGS5	Type 0	0.950116	0.950116
SLC16A5	ERC2	Type 0	0.251425	0.251425
NELL2	ERC2	Type 0	0.354749	0.354749
ACSL5	ERC2	Type 0	0.300704	0.300704
SNAP25	ERC2	Type 0	0.299390	0.299390
RPRM	ERC2	Type 0	0.232346	0.232346
ERC2	ST6GAL2	Type 0	0.232538	0.232538
ERC2	PRDM5	Type 0	0.233533	0.233533
TIMP3	TBC1D10A	Type 0	0.248485	0.248485
GSN	TBC1D10A	Type 0	0.514474	0.514474
UCN2	TBC1D10A	Type 0	0.335046	0.335046
ZNF553	TBC1D10A	Type 0	0.989809	0.989809
NLE1	TBC1D10A	Type 0	0.228558	0.228558
TBC1D10A	INPP4B	Type 0	0.478759	0.478759
TBC1D10A	DUSP10	Type 0	0.454003	0.454003
TBC1D10A	TBL1X	Type 0	0.201897	0.201897
TBC1D10A	CCL28	Type 0	0.364256	0.364256
TBC1D10A	PGD	Type 0	0.298427	0.298427
AREG	F2RL1	Type 0	0.857652	0.857652
F2RL1	EREG	Type 0	0.869657	0.869657
F2RL1	SLCO1B3	Type 0	1.000000	1.000000
NCAM1	SETBP1	Type 0	0.200965	0.200965
SEMA6D	SETBP1	Type 0	0.725108	0.725108
ST3GAL6	SETBP1	Type 0	0.251500	0.251500
COL24A1	SETBP1	Type 0	0.328684	0.328684
CDKN2C	SETBP1	Type 0	0.343113	0.343113
SETBP1	MAF	Type 0	0.297143	0.297143
SETBP1	COL24A1	Type 0	0.460817	0.460817
SNPH	ROBO3	Type 0	0.293471	0.293471
ROBO4	ROBO3	Type 0	0.317341	0.317341
NLGN2	ROBO3	Type 0	0.991360	0.991360
PLOD1	ROBO3	Type 0	0.230916	0.230916
ROBO3	FOXD1	Type 0	0.368880	0.368880
ROBO3	SPA17	Type 0	0.259063	0.259063
NT5M	C17orf81	Type 0	0.298445	0.298445
PFAS	C17orf81	Type 0	0.496089	0.496089
MYBBP1A	C17orf81	Type 0	0.929185	0.929185
C17orf81	SOSTDC1	Type 0	0.570213	0.570213
C17orf81	GPR81	Type 0	0.736086	0.736086
C17orf81	RGN	Type 0	0.243534	0.243534
C17orf81	RABEP1	Type 0	0.909064	0.909064
TUSC3	ID4	Type 0	0.326438	0.326438
PPP2R2C	ZNF452	Type 0	0.298772	0.298772
NOVA1	ZNF452	Type 0	0.288089	0.288089
AYTL1	ZNF452	Type 0	0.966433	0.966433
PRKAA2	ZNF452	Type 0	0.359794	0.359794
TNFRSF19	ZNF452	Type 0	0.516262	0.516262
LIFR	CDR1	Type 0	0.230866	0.230866
SLITRK4	CDR1	Type 0	0.569672	0.569672
NPR3	CDR1	Type 0	0.423332	0.423332
ACSS3	CDR1	Type 0	0.741755	0.741755
GPC6	CDR1	Type 0	0.300523	0.300523
PDE1C	CDR1	Type 0	0.343211	0.343211
CDR1	ACSS3	Type 0	0.249222	0.249222
RNASEH2B	SNRPE	Type 0	0.667532	0.667532
SAP18	SNRPE	Type 0	0.293283	0.293283
KIAA0368	SNRPE	Type 0	0.675993	0.675993
SNRPE	CHI3L1	Type 0	0.293139	0.293139
SNRPE	MAN2A2	Type 0	0.905901	0.905901
SNRPE	SAP18	Type 0	0.250710	0.250710
SNRPE	KIAA0368	Type 0	0.322428	0.322428
SNRPE	CORO1C	Type 0	0.375042	0.375042
SNRPE	SNX14	Type 0	0.334990	0.334990
SNRPE	HSPBP1	Type 0	0.231444	0.231444
SNRPE	AKT2	Type 0	0.276802	0.276802
FER1L3	CAV2	Type 0	0.213761	0.213761
CAV2	ALDH1A3	Type 0	0.358609	0.358609
CAV2	DKK1	Type 0	0.670089	0.670089
IL2RB	IL23R	Type 0	0.284032	0.284032
FNBP1L	IL23R	Type 0	0.301261	0.301261
IL21R	IL23R	Type 0	0.220053	0.220053
IL23R	RAMP2	Type 0	0.298203	0.298203
MS4A1	LOC92017	Type 0	0.211013	0.211013
PPP1R16B	LOC92017	Type 0	0.280849	0.280849
POU2F2	LOC92017	Type 0	0.989578	0.989578
DAG1	LOC92017	Type 0	0.417500	0.417500
PSCD3	DAGLB	Type 0	0.344982	0.344982
FADS3	DAGLB	Type 0	0.220527	0.220527
ANLN	DAGLB	Type 0	0.454456	0.454456
UNC84A	DAGLB	Type 0	0.422046	0.422046
DAGLB	C1GALT1	Type 0	0.587808	0.587808
DAGLB	FAM100B	Type 0	0.357279	0.357279
DAGLB	AHDC1	Type 0	0.273810	0.273810
DAGLB	UNC84A	Type 0	0.358100	0.358100
EBI2	EGR2	Type 0	0.331253	0.331253
EGR1	EGR2	Type 0	0.289129	0.289129
EGR3	EGR2	Type 0	0.479710	0.479710
EGR2	EGR3	Type 0	0.520290	0.520290
POU2AF1	LRMP	Type 0	0.222818	0.222818
CD79B	LRMP	Type 0	0.796045	0.796045
SPIB	LRMP	Type 0	0.207714	0.207714
LRMP	KMO	Type 0	0.541274	0.541274
LRMP	LY86	Type 0	0.237080	0.237080
LRMP	KLHL14	Type 0	1.000000	1.000000
LRMP	RCN1	Type 0	0.204212	0.204212
LRMP	ITPR2	Type 0	0.985482	0.985482
LRMP	BMF	Type 0	0.214610	0.214610
LRMP	MAPK10	Type 0	0.276781	0.276781
LRMP	KIAA1370	Type 0	0.390538	0.390538
LRMP	BCL11A	Type 0	0.973288	0.973288
CARD10	PPP1R16A	Type 0	0.596717	0.596717
TACC2	PPP1R16A	Type 0	0.293474	0.293474
SSH3	PPP1R16A	Type 0	0.271831	0.271831
KIFC2	PPP1R16A	Type 0	0.337371	0.337371
PPP1R16A	KIAA1875	Type 0	0.269864	0.269864
PPP1R16A	KIFC2	Type 0	0.661507	0.661507
OCC-1	KIAA1913	Type 0	0.300164	0.300164
FGFBP2	LGI4	Type 0	0.981189	0.981189
ROPN1	LGI4	Type 0	0.446432	0.446432
LGI4	TBL1X	Type 0	0.468472	0.468472
EIF1AX	USP9X	Type 0	0.960429	0.960429
SUGT1	USP9X	Type 0	0.268049	0.268049
STRAP	USP9X	Type 0	0.327630	0.327630
LARS	USP9X	Type 0	0.297800	0.297800
USP9X	C20orf77	Type 0	0.204852	0.204852
PKP3	HTATIP2	Type 0	0.236970	0.236970
F2RL1	HTATIP2	Type 0	0.338687	0.338687
TMC5	HTATIP2	Type 0	0.277435	0.277435
MARVELD2	HTATIP2	Type 0	0.987917	0.987917
SLC13A1	HSD17B13	Type 0	0.346373	0.346373
PAK7	HSD17B13	Type 0	0.315548	0.315548
HSD17B13	SLC13A1	Type 0	0.396916	0.396916
HSD17B13	PAK7	Type 0	0.471024	0.471024
HSD17B13	SCN1A	Type 0	0.454693	0.454693
ELF3	FLJ20209	Type 0	0.299839	0.299839
FGF13	FLJ20209	Type 0	0.218750	0.218750
EPHA1	FLJ20209	Type 0	0.202884	0.202884
ACOT11	FLJ20209	Type 0	0.441843	0.441843
PLEKHG6	FLJ20209	Type 0	0.973245	0.973245
FLJ20209	TSPAN2	Type 0	0.220588	0.220588
FLJ20209	PIM1	Type 0	0.300608	0.300608
FLJ20209	PFKM	Type 0	0.300601	0.300601
CYR61	NRG1	Type 0	0.453958	0.453958
ZNF697	TRIM59	Type 0	0.247316	0.247316
TRIM59	TNFRSF19	Type 0	0.435340	0.435340
TRIM59	SLFN13	Type 0	0.287710	0.287710
PRDM13	POU4F1	Type 0	0.417349	0.417349
ZPLD1	POU4F1	Type 0	0.228240	0.228240
ZFP36L1	POU4F1	Type 0	0.823843	0.823843
RBM20	POU4F1	Type 0	0.447277	0.447277
POU4F1	PRDM13	Type 0	0.582651	0.582651
VGLL1	CYP4B1	Type 0	0.838164	0.838164
TRPV6	CYP4B1	Type 0	0.371197	0.371197
GRHL1	CYP4B1	Type 0	0.446968	0.446968
STX2	CYP4B1	Type 0	0.222699	0.222699
ERP27	CYP4B1	Type 0	0.201447	0.201447
ABCC5	CYP4B1	Type 0	0.215163	0.215163
CD320	CYP4B1	Type 0	0.274247	0.274247
CYP4B1	GATA3	Type 0	0.426781	0.426781
CYP4B1	DHRS2	Type 0	0.976168	0.976168
CYP4B1	TRPV6	Type 0	0.270646	0.270646
CYP4B1	CDH26	Type 0	0.374786	0.374786
CYP4B1	CERK	Type 0	0.301242	0.301242
CYP4B1	XG	Type 0	0.300165	0.300165
CYP4B1	CD320	Type 0	0.273504	0.273504
CYP4B1	PADI3	Type 0	0.280255	0.280255
TMEM45B	SGPP2	Type 0	0.364841	0.364841
FA2H	SGPP2	Type 0	0.982837	0.982837
GCNT3	SGPP2	Type 0	0.207582	0.207582
SNAI2	CLIC4	Type 0	0.327391	0.327391
PPP2R3A	CLIC4	Type 0	0.702179	0.702179
CLIC4	SLIT2	Type 0	0.217773	0.217773
CLIC4	LMO4	Type 0	0.484954	0.484954
CLIC4	RNF32	Type 0	0.385171	0.385171
CLIC4	KIAA1147	Type 0	0.992947	0.992947
CLIC4	ZNF329	Type 0	0.222949	0.222949
CLIC4	DEF8	Type 0	0.226460	0.226460
ANXA2	QSOX1	Type 0	0.380765	0.380765
AADACL1	QSOX1	Type 0	0.998655	0.998655
TNFRSF12A	QSOX1	Type 0	0.257480	0.257480
LMNA	QSOX1	Type 0	0.524082	0.524082
QSOX1	SCD5	Type 0	0.232576	0.232576
QSOX1	CCDC34	Type 0	0.999748	0.999748
QSOX1	PPARD	Type 0	0.425436	0.425436
PKP3	LZTS1	Type 0	0.233128	0.233128
GDF15	KHDC1	Type 0	0.245130	0.245130
ERBB3	KHDC1	Type 0	0.300307	0.300307
NR3C1	KHDC1	Type 0	0.486868	0.486868
MAGEE1	KHDC1	Type 0	0.995160	0.995160
SNX10	HTR2B	Type 0	0.266315	0.266315
CD96	HTR2B	Type 0	0.206138	0.206138
CHRNA6	HTR2B	Type 0	0.995144	0.995144
HTR2B	FGL2	Type 0	0.334874	0.334874
HTR2B	CD200R1	Type 0	0.213401	0.213401
HTR2B	P2RY5	Type 0	0.562980	0.562980
LEMD1	SLC35E3	Type 0	0.293460	0.293460
NOXO1	SLC35E3	Type 0	0.353191	0.353191
EFNB1	SLC35E3	Type 0	0.298953	0.298953
MYO5A	SLC35E3	Type 0	0.294300	0.294300
ACSL5	SLC35E3	Type 0	0.244104	0.244104
OVGP1	SLC35E3	Type 0	0.516263	0.516263
MDM1	SLC35E3	Type 0	0.999144	0.999144
SLC35E3	LOC727982	Type 0	0.298807	0.298807
SLC35E3	AGA	Type 0	0.253508	0.253508
PPL	IL18	Type 0	0.502346	0.502346
GPC1	PDGFA	Type 0	0.361619	0.361619
WAS	ARHGAP9	Type 0	0.288467	0.288467
P2RY8	ARHGAP9	Type 0	0.857409	0.857409
ARHGAP9	HCK	Type 0	1.000000	1.000000
ARHGAP9	CD69	Type 0	0.296389	0.296389
ARHGAP9	ANKRD57	Type 0	0.283810	0.283810
ARHGAP9	AIF1	Type 0	0.986147	0.986147
ARHGAP9	CD52	Type 0	0.321412	0.321412
ARHGAP9	LILRA2	Type 0	0.269316	0.269316
ARHGAP9	PRKCB1	Type 0	0.329131	0.329131
ARHGAP9	ITGB2	Type 0	0.589681	0.589681
ARHGAP9	TNRC8	Type 0	0.220878	0.220878
ARHGAP9	SIT1	Type 0	0.641537	0.641537
ARHGAP9	GIMAP1	Type 0	0.267984	0.267984
ARHGAP9	ATP2A3	Type 0	0.241385	0.241385
HIST1H4E	HIST1H4B	Type 0	0.476073	0.476073
SNRPD1	HIST1H4B	Type 0	0.305593	0.305593
HIST1H1E	HIST1H4B	Type 0	0.210366	0.210366
HIST1H4B	DDX3Y	Type 0	0.204566	0.204566
HIST1H4B	EIF1AY	Type 0	0.297230	0.297230
HIST1H4B	NASP	Type 0	0.314265	0.314265
HIST1H4B	HIST1H2AH	Type 0	0.215802	0.215802
HIST1H4B	PCNA	Type 0	0.298644	0.298644
HIST1H4B	HIST1H4E	Type 0	0.523927	0.523927
HIST1H4B	TMEM150	Type 0	0.219541	0.219541
HIST1H4B	RPL15	Type 0	0.230530	0.230530
HIST1H4B	NOL5A	Type 0	0.216402	0.216402
HIST1H4B	SMC1A	Type 0	0.222801	0.222801
HIST1H4B	HIST1H1E	Type 0	0.654795	0.654795
HIST1H4B	MCM3	Type 0	0.239906	0.239906
CYR61	SERPINH1	Type 0	0.268815	0.268815
LOC162073	SERPINH1	Type 0	0.298017	0.298017
SERPINH1	MRGPRF	Type 0	0.321387	0.321387
